ID	NR_INWENT	NAZWA	REGION	GMINA	ROK_AKTUALIZACJI
822	G-2.2	Jaskinia na Czerwonej Górze	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
823	G-2.3	Studnia Gwarków	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
824	G-2.4	Jaskinia Gwarecka	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
825	G-2.5	Schronisko Jacka	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
826	G-2.6	Jaskinia z Prześwitami	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
827	G-2.7	Schronisko pod Płytą	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
828	G-2.8	Schronisko na Szczelinie	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
829	G-2.9	Schronisko Mechate	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
830	G-2.10	Czyściec	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
831	G-2.11	Piekło pod Skibami	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
832	G-2.13	Schronisko Łaszczyńskich	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
833	G-2.14	Jaskinia w Marzyszu	Region Świętokrzyski	Daleszyce (gm. miejsko-wiejska)	2013
834	G-2.15	Schronisko Okopcone	Region Świętokrzyski	Kielce (gm. miejska)	2013
835	G-2.16	Jaskinia Wodna	Region Świętokrzyski	Nowiny (gm. wiejska)	2013
836	G-2.17	Raj	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
837	G-2.18	Schron Polichniański	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
838	G-2.19	Jaskinia Nowa na Miedziance	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
839	G-2.20	Jaskinia w Sztolni Zofia na Miedziance	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
840	G-2.21	Schronisko Zachodnie na Miedziance	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
841	G-2.22	Schronisko Zakryte	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
842	G-2.23	Jaskinia Południowa na Miedziance	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
843	G-2.24	Schronisko Dwuotworowe na Miedziance	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
844	G-2.25	Jaskinia Hematytowa	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
845	G-2.26	Schronisko z Mostem Skalnym	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
846	G-2.27	Jaskinia Psia	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
